Date,Price,Open,High,Low,Vol.,Change %
08/16/2020,120.9,124.5,127.6,120.15,260.63M,-2.97%
08/09/2020,124.6,119.95,132.65,119.7,342.56M,0.0462
08/02/2020,119.1,103,119.7,102.9,506.63M,0.1381
07/26/2020,104.65,104,108.75,101.3,205.67M,0.0087
07/19/2020,103.75,106.35,109.75,102.7,226.63M,-2.49%
07/12/2020,106.4,108.85,112.1,100.6,264.93M,-1.12%
07/05/2020,107.6,105,112.6,104.2,352.89M,0.0401
06/28/2020,103.45,101.4,106.35,97.3,280.31M,0.0202
06/21/2020,101.4,102.35,110.8,100.35,382.18M,-1.07%
06/14/2020,102.5,104.65,104.65,91.8,590.06M,-2.66%
06/07/2020,105.3,114,119.15,98,448.95M,-4.92%
05/31/2020,110.75,88.9,112.45,88,546.39M,0.273
05/24/2020,87,83.9,88.15,82.6,272.98M,0.0507
05/17/2020,82.8,84.5,85.65,79.6,212.50M,-1.84%
05/10/2020,84.35,81.45,92.5,81.4,383.17M,0.0407
05/03/2020,81.05,87,87.2,80.35,268.55M,-13.08%
04/26/2020,93.25,75.9,93.75,74.8,274.09M,0.2567
04/19/2020,74.2,76.85,83.4,72.55,330.63M,-3.45%
04/12/2020,76.85,76,78.7,71,257.79M,0.0302
04/05/2020,74.6,68.55,76.25,65.4,236.93M,0.1424
03/29/2020,65.3,68.8,71.65,64.8,154.96M,-7.64%
03/22/2020,70.7,70,75.9,63.5,264.10M,-8.54%
03/15/2020,77.3,85.6,87.65,68.75,369.86M,-13.87%
03/08/2020,89.75,109,109.85,78.05,442.40M,-21.41%
03/01/2020,114.2,133,133.9,112.8,467.66M,-11.44%
02/23/2020,128.95,154,155.9,127.05,285.83M,-18.64%
02/16/2020,158.5,170.4,171.35,153.05,218.88M,-6.27%
02/09/2020,169.1,173.2,176.2,168,192.50M,-2.59%
02/02/2020,173.6,175.4,184.95,159.55,358.16M,-1.70%
01/26/2020,176.6,185.7,192.55,174.9,276.52M,-5.31%
01/19/2020,186.5,198,201.45,183.8,137.61M,-5.47%
01/12/2020,197.3,194.75,201.7,191.4,155.21M,0.0048
01/05/2020,196.35,191,199,180.2,186.53M,0.0275
12/29/2019,191.1,177.2,195.65,176.3,224.65M,0.0849
12/22/2019,176.15,176.85,179,174.1,78.63M,0.0011
12/15/2019,175.95,177,184.5,170.45,230.61M,-0.42%
12/08/2019,176.7,162,183.95,157.4,237.49M,0.0941
12/01/2019,161.5,160.95,172.2,157.4,172.20M,0.00%
11/24/2019,161.5,160.7,169.3,159.9,117.80M,-0.52%
11/17/2019,162.35,172.1,172.1,160.55,100.97M,-3.68%
11/10/2019,168.55,169.2,176,165.5,111.17M,-0.30%
11/03/2019,169.05,171.6,178.9,167.6,183.56M,-3.43%
10/27/2019,175.05,139.5,179.65,139.5,436.69M,0.38
10/20/2019,126.85,133.35,135.6,125.7,188.65M,-7.31%
10/13/2019,136.85,122.6,144.35,122.5,289.94M,0.1282
10/06/2019,121.3,120.25,122.2,115.45,152.39M,0.0138
09/29/2019,119.65,120.65,123.8,112.65,173.21M,-0.21%
09/22/2019,119.9,135,138.4,118.2,232.00M,-10.02%
09/15/2019,133.25,128,137.75,120.5,281.89M,0.0286
09/08/2019,129.55,119,135.35,117.35,289.04M,0.0685
09/01/2019,121.25,113.05,122.3,106,256.78M,0.039
08/25/2019,116.7,114.55,124,106.8,282.99M,0.0509
08/18/2019,111.05,121.2,124.8,106.2,241.30M,-8.49%
08/11/2019,121.35,123.8,126.3,117.35,100.90M,-0.57%
08/04/2019,122.05,128,128.2,116.5,182.65M,-6.62%
07/28/2019,130.7,146.9,146.9,127,184.60M,-11.18%
07/21/2019,147.15,155.45,159.3,138.1,163.50M,-4.97%
07/14/2019,154.85,159,172.35,153.85,122.20M,-2.79%
07/07/2019,159.3,159.35,162.85,149.1,114.41M,-0.56%
06/30/2019,160.2,163.7,169.4,159.5,88.39M,-1.45%
06/23/2019,162.55,158.7,168,156.2,86.74M,0.023
06/16/2019,158.9,163.75,164.15,152.15,96.19M,-3.23%
06/09/2019,164.2,170.9,172.2,163.5,79.46M,-3.13%
06/02/2019,169.5,170.5,177.2,167.25,70.06M,-1.80%
05/26/2019,172.6,181.75,185.3,170,92.84M,-5.32%
05/19/2019,182.3,181.45,192,173.5,158.95M,0.0308
05/12/2019,176.85,186.2,187.15,167.4,120.10M,-4.87%
05/05/2019,185.9,204,204.5,182.3,150.83M,-11.24%
04/28/2019,209.45,216.2,218.65,203.05,80.43M,-2.85%
04/21/2019,215.6,235,239.35,214,152.75M,-8.74%
04/14/2019,236.25,217.15,239.3,217.15,141.39M,0.094
04/07/2019,215.95,206,219.2,198.15,186.49M,0.0526
03/31/2019,205.15,176.35,209.5,176.35,302.33M,0.1773
03/24/2019,174.25,173.7,177.05,167.55,60.72M,-0.66%
03/17/2019,175.4,181,184.7,174.9,44.06M,-2.56%
03/10/2019,180,182,186,177.6,87.33M,-0.66%
03/03/2019,181.2,183.8,198.35,180,135.67M,0.005
02/24/2019,180.3,175.15,186.1,172.5,106.37M,0.0344
02/17/2019,174.3,162.8,175.3,159.2,67.47M,0.0783
02/10/2019,161.65,150.15,162.3,145.85,92.73M,0.0727
02/03/2019,150.7,181,185,129,152.66M,-17.04%
01/27/2019,181.65,173.3,185.9,169.4,59.28M,0.0485
01/20/2019,173.25,184.3,184.95,171.95,52.07M,-5.48%
01/13/2019,183.3,180.3,198.3,177.45,60.51M,0.0166
01/06/2019,180.3,173.2,187.75,173.2,101.90M,0.0547
12/30/2018,170.95,172.45,174.2,165.1,55.61M,0.0006
12/23/2018,170.85,176.25,177.85,167.6,47.32M,-3.06%
12/16/2018,176.25,167.25,180.5,167.25,97.64M,0.0557
12/09/2018,166.95,159.9,168.4,154.65,70.40M,0.028
12/02/2018,162.4,173.25,178.75,160.8,69.48M,-5.55%
11/25/2018,171.95,183.9,184.55,170.35,73.30M,-5.81%
11/18/2018,182.55,180.6,188.3,179.1,44.87M,0.0147
11/11/2018,179.9,194.45,194.45,176.25,87.54M,-7.86%
11/04/2018,195.25,191.3,200.75,186.65,76.43M,0.026
10/28/2018,190.3,169.95,191.85,167.7,100.73M,0.1294
10/21/2018,168.5,176.4,176.85,164.6,77.19M,-3.55%
10/14/2018,174.7,186.5,187.8,174,43.83M,-4.93%
10/07/2018,183.75,217.8,218.5,170.3,227.62M,-15.03%
09/30/2018,216.25,225,232.8,214.75,43.21M,-3.33%
09/23/2018,223.7,250.2,251,219.5,67.36M,-10.65%
09/16/2018,250.35,263.35,264.1,228.85,47.41M,-6.10%
09/09/2018,266.6,276,282,258.85,59.93M,-3.89%
09/02/2018,277.4,271.4,279.9,255.4,80.38M,0.037
08/26/2018,267.5,257,268.25,256.5,38.45M,0.047
08/19/2018,255.5,261.85,274.7,255,72.45M,-1.06%
08/12/2018,258.25,249.25,260.1,243.1,53.32M,0.0326
08/05/2018,250.1,259.95,261.8,249.55,64.37M,-3.23%
07/29/2018,258.45,267.75,271.65,250,97.58M,-3.62%
07/22/2018,268.15,254.95,269.7,251.1,49.61M,0.0582
07/15/2018,253.4,260.5,260.8,247.3,42.75M,-3.87%
07/08/2018,263.6,274.6,277,262.7,40.02M,-2.68%
07/01/2018,270.85,276,276.05,252.55,75.41M,0.0058
06/24/2018,269.3,306.3,306.3,261.85,100.47M,-12.56%
06/17/2018,308,302.9,312.8,302.1,37.01M,0.0167
06/10/2018,302.95,310.9,313.9,300.55,44.62M,-2.26%
06/03/2018,309.95,292.5,315.55,283.6,88.13M,0.0792
05/27/2018,287.2,293.75,300,281.6,74.60M,-2.36%
05/20/2018,294.15,304.75,317.25,284.1,111.79M,-3.43%
05/13/2018,304.6,333,333,303.5,57.59M,-7.92%
05/06/2018,330.8,337.85,347.25,330,49.55M,-1.08%
04/29/2018,334.4,338.5,351.65,329.15,35.49M,-0.74%
04/22/2018,336.9,335.95,339.5,326,49.03M,0.0027
04/15/2018,336,350.8,352.8,332.5,59.09M,-5.90%
04/08/2018,357.05,361.9,368.6,350.5,42.46M,-1.94%
04/01/2018,364.1,335,372.35,332.7,86.20M,0.114
03/25/2018,326.85,328.8,335.8,324.3,26.71M,-1.21%
03/18/2018,330.85,341.2,342.25,329.6,39.12M,-2.62%
03/11/2018,339.75,345,358.4,338.4,36.78M,-0.51%
03/04/2018,341.5,368.75,368.75,340.15,52.34M,-7.89%
02/25/2018,370.75,362,376.6,362,31.74M,0.0293
02/18/2018,360.2,373.7,374.7,357.5,35.89M,-2.85%
02/11/2018,370.75,373.4,382.3,367.6,34.40M,0.0054
02/04/2018,368.75,381,398,356.5,69.15M,-3.91%
01/28/2018,383.75,402.5,405.9,381.3,35.19M,-4.13%
01/21/2018,400.3,419.05,424.4,398,37.93M,-4.25%
01/14/2018,418.05,438.05,440.05,410.1,33.35M,-4.36%
01/07/2018,437.1,432,443.5,431.3,33.94M,0.0127
12/31/2017,431.6,430.95,441.4,422,47.35M,-0.06%
12/24/2017,431.85,422,433.45,416,21.03M,0.0233
12/17/2017,422,399,427.75,389.3,36.47M,0.0417
12/10/2017,405.1,412,415.5,398.2,26.65M,-1.47%
